type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,eventID,eventDate,samplingProtocol,locationID,waterBody,countryCode,stateProvince,municipality,minimumDepthInMeters,maximumDepthInMeters,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimLatitude,verbatimLongitude,verbatimSRS,verbatimCoordinateSystem
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439533,2006-09-15,transect monitoring,C05.142,MAAS I+II+III,BE,Limburg,Maasmechelen,0,0,centroïde MAAS I,50.92869,5.73162,WGS84,100,180701,245808,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439534,2007-09-14,transect monitoring,C05.142,MAAS I+II+III,BE,Limburg,Maasmechelen,0,0,centroïde MAAS I,50.92869,5.73162,WGS84,100,180701,245808,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439536,2008-09-20,transect monitoring,C05.142,MAAS I+II+III,BE,Limburg,Maasmechelen,0,0,centroïde MAAS I,50.92869,5.73162,WGS84,100,180701,245808,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439532,2006-09-15,transect monitoring,C05.143,MAAS I+II+III,BE,Limburg,Dilsen-Stokkem,0,0,centroïde MAAS II,51.02956,5.76274,WGS84,100,191960,247785,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439535,2007-09-14,transect monitoring,C05.143,MAAS I+II+III,BE,Limburg,Dilsen-Stokkem,0,0,centroïde MAAS II,51.02956,5.76274,WGS84,100,191960,247785,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21439537,2008-09-20,transect monitoring,C05.143,MAAS I+II+III,BE,Limburg,Dilsen-Stokkem,0,0,centroïde MAAS II,51.02956,5.76274,WGS84,100,191960,247785,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21590719,2012-06-14,transect monitoring,TR1000.1,KANAAL VAN BRUGGE NAAR SLUIS,BE,West Flanders,Damme,0,1.6,,51.30557,3.37203,WGS84,100,222214,80492,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21748054,2016-07-27,transect monitoring,TR1000.1,KANAAL VAN BRUGGE NAAR SLUIS,BE,West Flanders,Damme,0,2,,51.30557,3.37203,WGS84,100,222214,80492,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21871223,2019-07-01,transect monitoring,TR1000.1,KANAAL VAN BRUGGE NAAR SLUIS,BE,West Flanders,Damme,0,,,51.30557,3.37203,WGS84,100,222214,80492,EPSG:31370,Belgian Lambert 72
Event,en,https://creativecommons.org/licenses/by/4.0/,VMM,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/8e9te4,VMM,"VMM - Inland water macrophyte occurrences in Flanders, Belgium",21590717,2012-06-19,transect monitoring,TR1000.2,KANAAL VAN BRUGGE NAAR SLUIS,BE,West Flanders,Damme,0,1.8,,51.29133,3.33678,WGS84,100,220664,78012,EPSG:31370,Belgian Lambert 72
